order_id,client_id,product_id,unitary_price,mount,total,order_date,state
0,12,3,,5,173.70000000000002,2025-08-28,pending
1,114,8,100.75,2,201.5,2023-03-18,canceled
2,13,45,85.56553091698449,4,287.64,2022-11-20,canceled
3,13,17,262.69,3,788.0699999999999,01/05/2022,canceled
4,178,9,18.22,2,36.44,2024-05-05,canceled
5,174,15,64.11,5,320.55,2021-11-29,canceled
6,37,22,47.62,1,47.62,2025-08-14,complete
7,166,9,18.22,2,36.44,2023-11-21,canceled
8,174,5,32.47,2,64.94,2023-01-13,canceled
9,167,27,32.158684634429605,3,115.5,2024-06-09,complete
10,53,1,10.32,2,20.64,2021-03-23,canceled
11,26,34,19.045278979530075,1,19.49,2022-12-31,pending
12,137,29,,1,39.83,2023-07-08,canceled
13,135,13,38.87,4,155.48,2022-02-11,pending
14,48,48,16.41,1,16.41,2025-11-11,complete
15,102,9,18.22,4,72.88,2023-02-18,pending
16,178,5,26.58806106752579,1,32.47,2026-02-18,complete
17,59,29,39.83,5,199.14999999999998,2023-11-03,canceled
18,84,5,32.47,2,64.94,2024-10-17,complete
19,134,4,46.76,4,187.04,01/04/2025,pending
20,106,9,16.295437305380897,1,18.22,2023-05-01,canceled
21,111,42,22.81,4,91.24,2022-01-06,pending
22,26,15,64.11,5,320.55,2021-12-09,pending
23,128,17,262.69,4,1050.76,2022-10-16,complete
24,120,1,10.32,5,51.6,2021-11-14,pending
25,112,18,48.65,5,243.25,19/12/2022,pending
26,89,49,618.36,1,618.36,2023-02-20,complete
27,31,42,22.81,3,68.42999999999999,2023-07-31,complete
28,120,31,122.5,1,122.5,2023-08-14,canceled
29,44,29,,2,79.66,2023-03-19,complete
30,91,37,607.72,2,1215.44,2023-10-03,pending
31,66,10,101.27,2,202.54,2024-08-24,complete
32,38,2,11.28,5,56.4,2023-06-17,pending
33,149,13,38.87,3,116.60999999999999,2024-04-19,pending
34,80,23,1048.17,1,1048.17,2022-04-28,
35,65,9,18.22,2,36.44,2021-11-14,canceled
36,117,4,46.76,4,187.04,2023-04-13,canceled
37,2,28,94.48,5,472.40000000000003,2024-11-22,pending
38,192,22,47.62,3,142.85999999999999,2024-03-20,complete
39,33,25,420.54382560372096,5,2479.7999999999997,2022-06-15,pending
40,75,25,495.96,2,991.92,2026-02-25,pending
41,44,34,19.49,1,19.49,2024-10-09,complete
42,121,16,25.4,1,25.4,2025-12-27,canceled
43,99,37,607.72,4,2430.88,2023-05-21,canceled
44,136,16,,2,50.8,2025-03-02,pending
45,25,33,128.63,3,385.89,2022-03-04,complete
46,16,28,94.48,5,472.40000000000003,2024-08-24,complete
47,169,21,305.67,2,611.34,2023-09-10,complete
48,47,22,47.62,3,142.85999999999999,2021-07-20,canceled
49,149,8,100.75,5,503.75,2023-09-23,pending
50,176,47,25.94,4,103.76,2021-05-03,canceled
51,174,49,618.36,4,2473.44,2024-12-25,pending
52,28,44,468.07,4,1872.28,2021-09-04,complete
53,118,0,390.96063478163416,5,1996.85,06/11/2022,complete
54,96,41,49.59,5,247.95000000000002,2025-03-06,pending
55,137,3,34.74,5,173.70000000000002,2024-04-26,complete
56,97,32,37.99,1,37.99,02/05/2025,complete
57,171,33,128.63,5,643.15,2023-09-10,
58,160,22,56.6659417613501,2,95.24,2023-02-04,pending
59,173,24,175.8,3,527.4000000000001,2021-10-11,
60,63,34,19.49,3,58.47,30/04/2025,complete
61,85,26,33.66993698657114,2,81.14,2021-08-03,complete
62,17,17,262.69,5,1313.45,2024-06-20,pending
63,134,19,25.33218992874813,2,47.04,2023-08-05,complete
64,148,19,23.52,1,23.52,2025-08-11,pending
65,16,5,32.47,3,97.41,2022-06-28,complete
66,27,31,122.5,1,122.5,2022-02-26,canceled
67,157,14,65.95,5,329.75,2023-12-25,canceled
68,2,10,101.27,5,506.34999999999997,2022-08-22,pending
69,17,21,305.67,1,305.67,2025-12-04,pending
70,85,20,139.97,3,419.90999999999997,2023-07-21,complete
71,148,4,46.76,4,187.04,03/11/2022,pending
72,24,12,205.64,4,822.56,2025-05-18,complete
73,158,31,122.5,3,367.5,2023-12-20,canceled
74,155,45,71.91,1,71.91,2022-06-15,complete
75,172,36,19.79,4,79.16,2021-07-28,canceled
76,4,1,10.32,1,10.32,2025-04-15,
77,44,41,41.35057705530402,3,148.77,2024-09-07,complete
78,120,31,122.5,4,490.0,2022-01-11,canceled
79,184,14,53.18250079565079,1,65.95,2023-12-30,pending
80,81,0,424.18667222235405,5,1996.85,2021-11-16,canceled
81,105,21,305.67,3,917.01,2024-12-27,
82,140,21,305.67,1,305.67,2026-01-01,complete
83,131,24,177.8765612711563,2,351.6,2025-02-27,canceled
84,177,38,75.79628861150572,3,279.0,2022-02-09,complete
85,97,11,1031.49,1,1031.49,2024-04-11,pending
86,5,32,31.465397589627344,4,151.96,2025-06-06,pending
87,45,27,,4,154.0,2024-10-24,pending
88,81,43,35.11,2,70.22,2024-08-06,canceled
89,112,29,45.082039803331455,3,119.49,2025-06-18,pending
90,154,7,322.97,1,322.97,2022-12-05,pending
91,190,15,64.11,5,320.55,2021-09-09,complete
92,129,1,10.32,1,10.32,27/07/2024,
93,57,49,618.36,4,2473.44,2021-03-30,complete
94,132,39,77.7,4,310.8,2022-05-05,pending
95,108,14,65.95,4,263.8,2021-06-22,pending
96,93,15,64.11,2,128.22,2021-12-29,canceled
97,23,39,77.7,2,155.4,2021-06-13,pending
98,44,7,384.56740978898284,3,968.9100000000001,2022-01-07,complete
99,35,36,16.03210570779507,3,59.37,2023-02-26,complete
100,61,43,35.11,2,70.22,2022-05-28,complete
101,56,13,38.87,4,155.48,2025-12-04,canceled
102,4,25,495.96,1,495.96,22/10/2021,pending
103,25,46,246.47,2,492.94,2023-02-15,pending
104,131,15,64.11,2,128.22,2024-02-08,canceled
105,108,18,48.65,3,145.95,2021-05-25,pending
106,85,28,94.48,1,94.48,2024-10-30,complete
107,164,28,94.48,1,94.48,2024-09-23,complete
108,23,27,,1,38.5,2022-09-05,complete
109,49,31,,3,367.5,2023-06-18,complete
110,93,36,18.035170104248433,1,19.79,2024-12-11,complete
111,184,12,,1,205.64,2023-07-18,pending
112,144,1,9.04237828297089,2,20.64,2022-05-27,complete
113,61,19,23.52,3,70.56,2022-03-26,canceled
114,125,43,35.11,5,175.55,2021-11-11,
115,11,2,11.28,4,45.12,2022-05-03,canceled
116,126,33,128.63,1,128.63,2024-04-24,canceled
117,31,41,49.59,1,49.59,2024-09-08,complete
